Chromosome	Window	Freq_Mean	Freq_Median	STD
chr1	395000	0.473581422	0.473684211	0.138088949
chr1	400000	0.474739237	0.473684211	0.137626082
chr1	405000	0.479803572	0.476190476	0.139267839
chr1	410000	0.474212293	0.473684211	0.141663239
chr1	415000	0.467892956	0.473684211	0.139964278
chr1	420000	0.470260333	0.473684211	0.140536007
chr1	425000	0.473173326	0.473684211	0.141231033
chr1	430000	0.471174475	0.473684211	0.141076885
chr1	435000	0.471810612	0.473684211	0.140821946
chr1	440000	0.47572711	0.473684211	0.14313046
chr1	445000	0.47923875	0.474937343	0.147697273
chr1	450000	0.478974948	0.474937343	0.146548896
chr1	455000	0.479103064	0.474937343	0.147011977
chr1	460000	0.483203813	0.482676225	0.150074167
chr1	465000	0.48483016	0.483870968	0.150096234
chr1	470000	0.484365844	0.482676225	0.150380419
chr1	475000	0.483961753	0.479871176	0.149903351
chr1	480000	0.482798675	0.47826087	0.1513555
chr1	485000	0.482860879	0.474937343	0.152620317
chr1	490000	0.482738982	0.473684211	0.154134345
chr1	495000	0.483445236	0.473684211	0.154086474
chr1	500000	0.484699497	0.47826087	0.153936162
chr1	505000	0.491365544	0.47826087	0.144933126
chr1	510000	0.492801852	0.481065919	0.145500426
chr1	515000	0.494133165	0.483870968	0.14500891
chr1	520000	0.49276279	0.481065919	0.145433174
chr1	525000	0.494154669	0.483870968	0.147378577
chr1	530000	0.489462904	0.474937343	0.147330085
chr1	535000	0.488514397	0.473684211	0.149863095
chr1	540000	0.486175623	0.473684211	0.15147027
chr1	545000	0.487336208	0.473684211	0.151872705
chr1	550000	0.479262527	0.473684211	0.158576196
chr1	555000	0.476782671	0.473684211	0.154536294
chr1	560000	0.484371072	0.473684211	0.150596646
chr1	565000	0.489774726	0.476190476	0.149291648
chr1	570000	0.488775401	0.477225673	0.147715051
chr1	575000	0.489695177	0.47826087	0.147665261
chr1	580000	0.489361558	0.47826087	0.148781784
chr1	585000	0.48804397	0.481065919	0.150707302
chr1	590000	0.492867683	0.5	0.153337522
chr1	595000	0.49698789	0.5	0.156280055
chr1	600000	0.49493643	0.47826087	0.159231953
chr1	605000	0.485924771	0.476190476	0.156571708
chr1	610000	0.503347365	0.5	0.15061557
chr1	615000	0.504664304	0.5	0.149148639
chr1	620000	0.501288847	0.5	0.148026544
chr1	625000	0.495977099	0.5	0.147777335
chr1	630000	0.495398667	0.5	0.148375756
chr1	635000	0.495398667	0.5	0.148375756
chr1	640000	0.489171941	0.5	0.142631729
chr1	645000	0.484531918	0.47826087	0.139698392
chr1	650000	0.487096815	0.47826087	0.142219156
chr1	655000	0.484050217	0.5	0.14593069
chr1	660000	0.480534626	0.5	0.153360007
chr1	665000	0.505734202	0.5	0.156366482
chr1	670000	0.499462928	0.5	0.166454176
chr1	675000	0.501774674	0.518518519	0.168098148
chr1	680000	0.501739944	0.518518519	0.166001657
chr1	685000	0.497299767	0.518518519	0.171816139
chr1	690000	0.495787563	0.518518519	0.177510808
chr1	695000	0.495320395	0.518518519	0.175701454
chr1	700000	0.494586825	0.509259259	0.17615708
chr1	705000	0.488485461	0.5	0.180996051
chr1	710000	0.486907479	0.5	0.180336517
chr1	715000	0.483201495	0.5	0.177156112
chr1	720000	0.48586442	0.5	0.166786548
chr1	725000	0.48449391	0.5	0.162896234
chr1	730000	0.479516776	0.5	0.165723267
chr1	735000	0.476667123	0.5	0.16454661
chr1	740000	0.477430054	0.5	0.163873131
chr1	745000	0.487583068	0.5	0.168529095
chr1	750000	0.497237748	0.5	0.16163354
chr1	755000	0.497774884	0.5	0.162445858
chr1	760000	0.497164909	0.5	0.159117765
chr1	765000	0.498286738	0.5	0.15811156
chr1	770000	0.49597668	0.5	0.160184832
chr1	775000	0.49597668	0.5	0.160184832
chr1	780000	0.498601636	0.5	0.159746614
chr1	785000	0.498422177	0.5	0.160131001
chr1	790000	0.497249269	0.5	0.158058476
chr1	795000	0.496562039	0.5	0.156942562
chr1	800000	0.496202323	0.5	0.15735249
chr1	805000	0.494745486	0.5	0.156316086
chr1	810000	0.494294396	0.5	0.154830131
chr1	815000	0.49279561	0.5	0.155447572
chr1	820000	0.492163658	0.5	0.155637827
chr1	825000	0.492011044	0.5	0.154671739
chr1	830000	0.493112317	0.5	0.154144085
chr1	835000	0.493112317	0.5	0.154144085
chr1	840000	0.493591391	0.5	0.15344885
chr1	845000	0.496630806	0.5	0.153197891
chr1	850000	0.49782987	0.5	0.152465257
chr1	855000	0.500003816	0.5	0.150006079
chr1	860000	0.501997151	0.5	0.145330042
chr1	865000	0.493446767	0.5	0.144688247
chr1	870000	0.497166885	0.5	0.136520793
chr1	875000	0.497096667	0.5	0.13427413
chr1	880000	0.497838976	0.5	0.134961039
chr1	885000	0.499459284	0.5	0.130465477
chr1	890000	0.502248818	0.5	0.127243098
chr1	895000	0.496847303	0.5	0.126340992
chr1	900000	0.499675115	0.5	0.128861018
chr1	905000	0.504781258	0.5	0.123080074
chr1	910000	0.5053656	0.5	0.122882393
chr1	915000	0.504637557	0.5	0.121780582
chr1	920000	0.505609904	0.5	0.12315808
chr1	925000	0.50507841	0.5	0.124772306
chr1	930000	0.507849398	0.5	0.121284703
chr1	935000	0.509861153	0.516129032	0.121003448
chr1	940000	0.509688974	0.516129032	0.120870953
chr1	945000	0.507505289	0.516129032	0.112521592
chr1	950000	0.51126728	0.52173913	0.115612925
chr1	955000	0.509414685	0.518934081	0.116120002
chr1	960000	0.510853339	0.52173913	0.117262731
chr1	965000	0.510810815	0.52173913	0.117165381
chr1	970000	0.510621934	0.52173913	0.117426414
chr1	975000	0.508796641	0.516129032	0.1166858
chr1	980000	0.508531594	0.516129032	0.116170032
chr1	985000	0.507798522	0.508064516	0.118432446
chr1	990000	0.507184524	0.5	0.118531241
chr1	995000	0.509760307	0.52173913	0.119865638
chr1	1000000	0.509880032	0.52173913	0.119525876
chr1	1005000	0.51168683	0.52173913	0.119883344
chr1	1010000	0.512042742	0.52173913	0.120379731
chr1	1015000	0.512487311	0.52173913	0.120469808
chr1	1020000	0.510854808	0.52173913	0.120946294
chr1	1025000	0.508949573	0.52173913	0.122574058
chr1	1030000	0.507090699	0.516129032	0.121489892
chr1	1035000	0.505116185	0.5	0.122057581
chr1	1040000	0.502984094	0.5	0.121518943
chr1	1045000	0.501793788	0.5	0.121149826
chr1	1050000	0.501431571	0.5	0.121003891
chr1	1055000	0.504594736	0.5	0.123218885
chr1	1060000	0.500185902	0.5	0.123668276
chr1	1065000	0.501937087	0.5	0.124365769
chr1	1070000	0.503914643	0.516129032	0.124009456
chr1	1075000	0.505308657	0.52173913	0.124405163
chr1	1080000	0.503861774	0.516129032	0.126144977
chr1	1085000	0.504452856	0.516129032	0.125377951
chr1	1090000	0.513572277	0.52173913	0.131189017
chr1	1095000	0.518629416	0.523809524	0.132140159
chr1	1100000	0.515785054	0.52173913	0.130807431
chr1	1105000	0.513791976	0.52173913	0.132780355
chr1	1110000	0.513376548	0.52173913	0.137892479
chr1	1115000	0.516166489	0.52173913	0.137447742
chr1	1120000	0.516344822	0.52173913	0.138423866
chr1	1125000	0.51725082	0.522774327	0.138164377
chr1	1130000	0.518189283	0.523809524	0.137271523
chr1	1135000	0.516993428	0.522774327	0.137923281
chr1	1140000	0.516582915	0.522774327	0.137057722
chr1	1145000	0.512273583	0.5	0.141446672
chr1	1150000	0.506437977	0.5	0.139158033
chr1	1155000	0.50776123	0.5	0.138720033
chr1	1160000	0.507559168	0.5	0.141006712
chr1	1165000	0.50519418	0.5	0.141965946
chr1	1170000	0.507746588	0.5	0.146028677
chr1	1175000	0.51176386	0.5	0.148557004
chr1	1180000	0.509839444	0.5	0.150683596
chr1	1185000	0.507268571	0.5	0.149580225
chr1	1190000	0.506712477	0.5	0.150262321
chr1	1195000	0.50290476	0.5	0.15012351
chr1	1200000	0.502507129	0.5	0.150323814
chr1	1205000	0.501666294	0.5	0.15110856
chr1	1210000	0.502641949	0.5	0.150007172
chr1	1215000	0.499413188	0.5	0.151953766
chr1	1220000	0.500200348	0.5	0.153980961
chr1	1225000	0.500565662	0.5	0.154192952
chr1	1230000	0.494732957	0.49	0.157449526
chr1	1235000	0.495168463	0.5	0.157850129
chr1	1240000	0.49588858	0.49	0.155443765
chr1	1245000	0.487700374	0.473684211	0.156439432
chr1	1250000	0.48619532	0.473684211	0.154961704
chr1	1255000	0.472560901	0.45	0.140771487
chr1	1260000	0.472247418	0.45	0.141974682
chr1	1265000	0.468276375	0.45	0.141013989
chr1	1270000	0.46393221	0.446360153	0.142558754
chr1	1275000	0.465894178	0.448275862	0.14316089
chr1	1280000	0.467579216	0.45	0.139431779
chr1	1285000	0.467260635	0.45	0.13842689
chr1	1290000	0.454955251	0.444444444	0.126042426
chr1	1295000	0.455266404	0.444444444	0.12559309
chr1	1300000	0.456677446	0.448275862	0.125527471
chr1	1305000	0.457386204	0.448275862	0.123942011
chr1	1310000	0.463539585	0.45	0.122711502
chr1	1315000	0.464834852	0.45	0.124681673
chr1	1320000	0.465625791	0.45	0.124784375
chr1	1325000	0.453918118	0.446360153	0.129442131
chr1	1330000	0.455963626	0.448275862	0.13145037
chr1	1335000	0.456944607	0.449137931	0.130881088
chr1	1340000	0.455074988	0.448275862	0.132483179
chr1	1345000	0.455757393	0.449137931	0.13146259
chr1	1350000	0.457144276	0.45	0.133265847
chr1	1355000	0.458659145	0.45	0.133671281
chr1	1360000	0.456000712	0.45	0.132966467
chr1	1365000	0.45290645	0.444444444	0.133182527
chr1	1370000	0.449030978	0.444444444	0.131966945
chr1	1375000	0.450629728	0.444444444	0.132213417
chr1	1380000	0.45148146	0.45	0.130275139
chr1	1385000	0.452401462	0.45	0.129671486
chr1	1390000	0.452525253	0.45	0.129140171
chr1	1395000	0.455487891	0.45	0.128392756
chr1	1400000	0.453541074	0.45	0.128249495
chr1	1405000	0.454145465	0.45	0.128918779
chr1	1410000	0.452476091	0.45	0.128804184
chr1	1415000	0.453756937	0.45	0.127890518
chr1	1420000	0.453730482	0.45	0.126586003
chr1	1425000	0.453585252	0.45	0.126459342
chr1	1430000	0.454725721	0.45	0.126314529
chr1	1435000	0.455393859	0.45	0.126472172
chr1	1440000	0.454620864	0.45	0.128579533
chr1	1445000	0.457605011	0.454545455	0.128644221
chr1	1450000	0.457138721	0.454545455	0.12878564
chr1	1455000	0.457041478	0.458333333	0.13543509
chr1	1460000	0.460580631	0.461538462	0.13637005
chr1	1465000	0.461249593	0.467611336	0.137321721
chr1	1470000	0.46300339	0.473684211	0.1357271
chr1	1475000	0.460174461	0.467611336	0.134194093
chr1	1480000	0.458991203	0.458333333	0.136427806
chr1	1485000	0.461548502	0.458333333	0.139681308
chr1	1490000	0.462185941	0.458333333	0.140531399
chr1	1495000	0.463200035	0.473684211	0.140075473
chr1	1500000	0.460411532	0.459935897	0.141158255
chr1	1505000	0.460546923	0.467611336	0.143720184
chr1	1510000	0.450057359	0.454545455	0.141922898
chr1	1515000	0.443375685	0.45	0.143498114
chr1	1520000	0.441752763	0.45	0.143384787
chr1	1525000	0.454767586	0.458333333	0.140820263
chr1	1530000	0.452018385	0.458333333	0.138846486
chr1	1535000	0.453393277	0.456439394	0.141209557
chr1	1540000	0.452736724	0.458333333	0.139054501
chr1	1545000	0.460609586	0.467611336	0.141076335
chr1	1550000	0.458649893	0.458333333	0.138285814
chr1	1555000	0.45555978	0.458333333	0.131952919
chr1	1560000	0.463249352	0.473684211	0.133762004
chr1	1565000	0.467030237	0.473684211	0.135339082
chr1	1570000	0.479074398	0.47826087	0.13391064
chr1	1575000	0.478330555	0.477225673	0.135827948
chr1	1580000	0.47727259	0.476190476	0.139609471
chr1	1585000	0.477484633	0.477225673	0.140119447
chr1	1590000	0.478492787	0.477225673	0.140436574
chr1	1595000	0.475818425	0.476190476	0.143142859
chr1	1600000	0.4793513	0.5	0.142583246
chr1	1605000	0.473362938	0.473684211	0.144030919
chr1	1610000	0.474886596	0.473684211	0.144279515
chr1	1615000	0.473971793	0.473684211	0.144410451
chr1	1620000	0.476715196	0.49	0.145529165
chr1	1625000	0.477203292	0.478095238	0.144411034
chr1	1630000	0.477203292	0.478095238	0.144411034
chr1	1635000	0.477303688	0.478095238	0.144420852
chr1	1640000	0.477740291	0.474937343	0.143574767
chr1	1645000	0.477306684	0.474937343	0.143780066
chr1	1650000	0.476707803	0.473684211	0.142791774
chr1	1655000	0.477282701	0.474937343	0.142323054
chr1	1660000	0.477204065	0.474937343	0.142086189
chr1	1665000	0.476956867	0.476190476	0.141837341
chr1	1670000	0.477584679	0.477225673	0.142699687
chr1	1675000	0.476980903	0.473684211	0.143267753
chr1	1680000	0.478002277	0.474937343	0.143399369
chr1	1685000	0.477742425	0.477225673	0.140070451
chr1	1690000	0.481921759	0.5	0.142227126
chr1	1695000	0.481849062	0.5	0.14201773
chr1	1700000	0.484091202	0.5	0.141422902
chr1	1705000	0.485548217	0.5	0.141550825
chr1	1710000	0.482594257	0.5	0.142202065
chr1	1715000	0.489267417	0.5	0.138334018
chr1	1720000	0.489668579	0.5	0.137475088
chr1	1725000	0.489215925	0.5	0.137205165
chr1	1730000	0.492751216	0.5	0.135138034
chr1	1735000	0.491206254	0.5	0.134090603
chr1	1740000	0.493145434	0.5	0.133803097
chr1	1745000	0.488859142	0.5	0.134332257
chr1	1750000	0.489274272	0.5	0.135058271
chr1	1755000	0.491910724	0.5	0.136818102
chr1	1760000	0.487726499	0.5	0.137526458
chr1	1765000	0.490163575	0.5	0.135962843
chr1	1770000	0.483314563	0.49	0.134940505
chr1	1775000	0.482962942	0.5	0.13182312
chr1	1780000	0.459958686	0.464285714	0.153953922
chr1	1785000	0.459958686	0.464285714	0.153953922
chr1	1790000	0.459235085	0.473684211	0.154571749
chr1	1795000	0.459402651	0.473684211	0.154266953
chr1	1800000	0.459826239	0.473684211	0.153967799
chr1	1805000	0.46569625	0.47826087	0.152252111
chr1	1810000	0.467427558	0.47826087	0.153108834
chr1	1815000	0.468669242	0.47826087	0.153385709
chr1	1820000	0.469550823	0.477225673	0.155281482
chr1	1825000	0.465482512	0.476190476	0.156330484
chr1	1830000	0.469802755	0.479130435	0.155677814
chr1	1835000	0.472672151	0.5	0.153084538
chr1	1840000	0.471964589	0.5	0.153657867
chr1	1845000	0.472996891	0.5	0.153360336
chr1	1850000	0.473534036	0.5	0.154655434
chr1	1855000	0.473476981	0.5	0.155309048
chr1	1860000	0.473242943	0.5	0.155001395
chr1	1865000	0.472943872	0.5	0.154294765
chr1	1870000	0.471855236	0.5	0.153397463
chr1	1875000	0.470839494	0.49	0.153145496
chr1	1880000	0.46999643	0.48	0.153340075
chr1	1885000	0.472883529	0.5	0.158092578
chr1	1890000	0.46691563	0.47826087	0.155004891
chr1	1895000	0.464085315	0.476190476	0.156704391
chr1	1900000	0.46087594	0.476190476	0.157093083
chr1	1905000	0.457613453	0.473684211	0.15721646
chr1	1910000	0.464215494	0.476190476	0.155135038
chr1	1915000	0.462874119	0.476190476	0.155053795
chr1	1920000	0.462203858	0.476190476	0.156444345
chr1	1925000	0.458316826	0.473684211	0.159966365
chr1	1930000	0.448168721	0.464114833	0.163313884
chr1	1935000	0.451293287	0.473684211	0.1659095
chr1	1940000	0.448620679	0.473684211	0.166492244
chr1	1945000	0.44931527	0.464114833	0.165681537
chr1	1950000	0.45109617	0.473684211	0.164592459
chr1	1955000	0.450738678	0.473684211	0.169781376
chr1	1960000	0.452884937	0.473684211	0.168529639
chr1	1965000	0.45245819	0.473684211	0.166765089
chr1	1970000	0.452801772	0.473684211	0.166073786
chr1	1975000	0.45223798	0.473684211	0.166008813
chr1	1980000	0.482609972	0.476190476	0.134621165
chr1	1985000	0.483154871	0.476190476	0.134386663
chr1	1990000	0.482455275	0.476190476	0.134273722
chr1	1995000	0.487704187	0.476190476	0.134467809
chr1	2000000	0.486426039	0.476190476	0.136322439
chr1	2005000	0.485619131	0.476190476	0.136465543
chr1	2010000	0.484066487	0.476190476	0.134523563
chr1	2015000	0.482298973	0.476190476	0.137583393
chr1	2020000	0.478591895	0.476190476	0.134619406
chr1	2025000	0.4844777	0.476190476	0.134061449
chr1	2030000	0.483086356	0.476190476	0.132572933
chr1	2035000	0.483521434	0.47826087	0.12968247
chr1	2040000	0.486926227	0.47826087	0.126623998
chr1	2045000	0.486593273	0.47826087	0.125941062
chr1	2050000	0.483780257	0.47826087	0.127455816
chr1	2055000	0.481844003	0.476190476	0.12679138
chr1	2060000	0.483149795	0.47826087	0.126830951
chr1	2065000	0.483527894	0.47826087	0.125943047
chr1	2070000	0.481489463	0.47826087	0.127106079
chr1	2075000	0.484118856	0.47826087	0.128101332
chr1	2080000	0.486360677	0.482758621	0.12629303
chr1	2085000	0.481330932	0.47826087	0.123067643
chr1	2090000	0.48170601	0.479130435	0.123403054
chr1	2095000	0.484336712	0.482120051	0.121646573
chr1	2100000	0.487820541	0.5	0.121115422
chr1	2105000	0.487660773	0.49137931	0.119230893
chr1	2110000	0.487361945	0.5	0.119642325
chr1	2115000	0.489765493	0.5	0.120578889
chr1	2120000	0.488634311	0.5	0.116716948
chr1	2125000	0.490217475	0.5	0.110722929
chr1	2130000	0.496999871	0.5	0.118845233
chr1	2135000	0.496659735	0.5	0.118193145
chr1	2140000	0.496341782	0.5	0.118128017
chr1	2145000	0.497041471	0.5	0.119394663
chr1	2150000	0.496311175	0.5	0.120040622
chr1	2155000	0.497402988	0.5	0.118899663
chr1	2160000	0.49665943	0.5	0.118900561
chr1	2165000	0.497928703	0.5	0.119991273
chr1	2170000	0.498402331	0.5	0.12023596
chr1	2175000	0.499838623	0.5	0.119346506
chr1	2180000	0.501466153	0.5	0.120593948
chr1	2185000	0.500234417	0.5	0.120615812
chr1	2190000	0.500238475	0.5	0.120219937
chr1	2195000	0.498320977	0.5	0.119283183
chr1	2200000	0.497672929	0.5	0.119759328
chr1	2205000	0.497867243	0.5	0.119930562
chr1	2210000	0.497643944	0.5	0.120516676
chr1	2215000	0.493043006	0.5	0.124213333
chr1	2220000	0.491973287	0.5	0.125229757
chr1	2225000	0.493078034	0.5	0.125481721
chr1	2230000	0.491471354	0.5	0.126194243
chr1	2235000	0.488903482	0.5	0.130005851
chr1	2240000	0.487319228	0.5	0.131726195
chr1	2245000	0.488207716	0.5	0.1314863
chr1	2250000	0.491468887	0.5	0.128490694
chr1	2255000	0.490053836	0.5	0.128650847
chr1	2260000	0.488955653	0.5	0.12876241
chr1	2265000	0.488092781	0.5	0.129463816
chr1	2270000	0.4894635	0.5	0.128886262
chr1	2275000	0.489535929	0.5	0.127985548
chr1	2280000	0.486722848	0.5	0.129209264
chr1	2285000	0.488905665	0.5	0.129553374
chr1	2290000	0.487966101	0.5	0.12849699
chr1	2295000	0.487863073	0.5	0.128648729
chr1	2300000	0.488711907	0.5	0.127228825
chr1	2305000	0.489148348	0.5	0.127796607
chr1	2310000	0.48963922	0.5	0.128085733
chr1	2315000	0.488435112	0.5	0.127856056
chr1	2320000	0.488749744	0.5	0.131708806
chr1	2325000	0.489783814	0.5	0.13732463
chr1	2330000	0.480149505	0.5	0.131495169
chr1	2335000	0.478853165	0.5	0.130961649
chr1	2340000	0.478865905	0.5	0.131274451
chr1	2345000	0.478167788	0.5	0.127785432
chr1	2350000	0.476096706	0.5	0.127244313
chr1	2355000	0.474913308	0.5	0.127782885
chr1	2360000	0.474937767	0.5	0.127413
chr1	2365000	0.473058925	0.479130435	0.12582579
chr1	2370000	0.467377042	0.473684211	0.126426226
chr1	2375000	0.464546788	0.473684211	0.126727954
chr1	2380000	0.465897828	0.473684211	0.125394807
chr1	2385000	0.468044905	0.476190476	0.128621661
chr1	2390000	0.469908841	0.476190476	0.131768581
chr1	2395000	0.469749997	0.476190476	0.132117565
chr1	2400000	0.471293344	0.479130435	0.132571564
chr1	2405000	0.475081827	0.48	0.134032061
chr1	2410000	0.474386237	0.479130435	0.133377985
chr1	2415000	0.478670167	0.48	0.126454829
chr1	2420000	0.479305814	0.48	0.125528203
chr1	2425000	0.480071498	0.49	0.125556195
chr1	2430000	0.479506981	0.49	0.125801131
chr1	2435000	0.480448982	0.5	0.125038299
chr1	2440000	0.479949898	0.49	0.125944085
chr1	2445000	0.477728005	0.48	0.126651778
chr1	2450000	0.475662869	0.479130435	0.128198506
chr1	2455000	0.478980388	0.5	0.129094402
chr1	2460000	0.47941894	0.5	0.128502908
chr1	2465000	0.479113974	0.5	0.130570205
chr1	2470000	0.481408101	0.5	0.131131807
chr1	2475000	0.478409632	0.5	0.132086275
chr1	2480000	0.482445716	0.5	0.132745323
chr1	2485000	0.47914414	0.5	0.13256548
chr1	2490000	0.480599028	0.5	0.134114497
chr1	2495000	0.479743413	0.5	0.134599716
chr1	2500000	0.476776961	0.5	0.134783373
chr1	2505000	0.475221688	0.5	0.130449061
chr1	2510000	0.47269696	0.47826087	0.127047677
chr1	2515000	0.484545186	0.5	0.130052838
chr1	2520000	0.482690931	0.5	0.133647848
chr1	2525000	0.484321926	0.5	0.13060644
chr1	2530000	0.484375711	0.5	0.129997356
chr1	2535000	0.485459489	0.5	0.129792828
chr1	2540000	0.485160007	0.5	0.130764597
chr1	2545000	0.485064918	0.5	0.131306534
chr1	2550000	0.487760683	0.5	0.130263258
chr1	2555000	0.484874309	0.5	0.131184805
chr1	2560000	0.486178846	0.5	0.131438703
chr1	2565000	0.488185012	0.5	0.131952761
chr1	2570000	0.491080198	0.5	0.131513841
chr1	2575000	0.491785187	0.5	0.131941012
chr1	2580000	0.487619865	0.5	0.136384419
chr1	2585000	0.484985333	0.5	0.136523515
chr1	2590000	0.482893762	0.5	0.134217871
chr1	2595000	0.482928138	0.5	0.134560719
chr1	2600000	0.482066942	0.5	0.13437
chr1	2605000	0.478083698	0.5	0.133754446
chr1	2610000	0.478978474	0.5	0.134502253
chr1	2615000	0.488840117	0.5	0.136652859
chr1	2620000	0.488856539	0.5	0.136258598
chr1	2625000	0.485602609	0.5	0.135644667
chr1	2630000	0.486999257	0.5	0.136042544
chr1	2635000	0.486926219	0.5	0.136420651
chr1	2640000	0.488397594	0.5	0.135135272
chr1	2645000	0.486329148	0.5	0.134677836
chr1	2650000	0.493401851	0.5	0.13146153
chr1	2655000	0.495007953	0.5	0.130199348
chr1	2660000	0.496482005	0.5	0.128753995
chr1	2665000	0.49515795	0.5	0.125440979
chr1	2670000	0.496728981	0.5	0.125255189
chr1	2675000	0.498493788	0.5	0.125238758
chr1	2680000	0.495863434	0.5	0.125459756
chr1	2685000	0.495863434	0.5	0.125459756
chr1	2690000	0.496490964	0.5	0.126241318
chr1	2695000	0.496228637	0.5	0.12617116
chr1	2700000	0.495895555	0.5	0.126687437
chr1	2705000	0.498615238	0.5	0.128647739
chr1	2710000	0.503103763	0.5	0.131705838
chr1	2715000	0.493580325	0.5	0.12994343
chr1	2720000	0.497108157	0.5	0.125480254
chr1	2725000	0.491201302	0.5	0.127758679
chr1	2730000	0.493439627	0.5	0.129245605
chr1	2735000	0.491453948	0.5	0.129971237
chr1	2740000	0.492321101	0.5	0.128452246
chr1	2745000	0.49241696	0.5	0.127637036
chr1	2750000	0.492272572	0.5	0.129211988
chr1	2755000	0.495363368	0.5	0.127695578
chr1	2760000	0.494711951	0.5	0.127657159
chr1	2765000	0.49360877	0.5	0.125632028
chr1	2770000	0.486578686	0.5	0.122838421
chr1	2775000	0.496601975	0.5	0.126972598
chr1	2780000	0.497406723	0.5	0.121186471
chr1	2785000	0.495520611	0.5	0.118057138
chr1	2790000	0.494647259	0.5	0.116810259
chr1	2795000	0.494312204	0.5	0.11784048
chr1	2800000	0.494166875	0.5	0.117487389
chr1	2805000	0.495074479	0.5	0.116844979
chr1	2810000	0.495074479	0.5	0.116844979
chr1	2815000	0.491661405	0.5	0.115535018
chr1	2820000	0.492098424	0.5	0.115643955
chr1	2825000	0.493558119	0.5	0.115693879
chr1	2830000	0.49397174	0.5	0.114766561
chr1	2835000	0.493543248	0.5	0.114522413
