Chromosome	Topology	Weights
Chr1	Topology1	0.2744
Chr1	Topology1	0.2802
Chr1	Topology1	0.2812
Chr1	Topology1	0.278
Chr1	Topology1	0.2748
Chr1	Topology1	0.2873
Chr1	Topology1	0.2819
Chr1	Topology1	0.2851
Chr1	Topology1	0.2836
Chr1	Topology1	0.2796
Chr1	Topology1	0.2475
Chr1	Topology1	0.2767
Chr1	Topology1	0.2771
Chr1	Topology1	0.2766
Chr1	Topology1	0.281
Chr1	Topology1	0.2767
Chr1	Topology1	0.271
Chr1	Topology1	0.2786
Chr1	Topology1	0.2792
Chr1	Topology1	0.2733
Chr1	Topology1	0.2822
Chr1	Topology1	0.2794
Chr1	Topology1	0.2751
Chr1	Topology1	0.2806
Chr1	Topology1	0.2747
Chr1	Topology1	0.2856
Chr1	Topology1	0.2831
Chr1	Topology1	0.2765
Chr1	Topology1	0.244720853
Chr1	Topology1	0.2862
Chr1	Topology1	0.2849
Chr1	Topology1	0.2741
Chr1	Topology1	0.2796
Chr1	Topology1	0.2847
Chr1	Topology1	0.2771
Chr1	Topology1	0.2781
Chr1	Topology1	0.2805
Chr1	Topology1	0.2758
Chr1	Topology1	0.2755
Chr1	Topology1	0.2717
Chr1	Topology1	0.2766
Chr1	Topology1	0.2764
Chr1	Topology1	0.2693
Chr1	Topology1	0.2711
Chr1	Topology1	0.271
Chr1	Topology1	0.2806
Chr1	Topology1	0.2807
Chr1	Topology1	0.281
Chr1	Topology1	0.2901
Chr1	Topology1	0.2809
Chr1	Topology1	0.2765
Chr1	Topology1	0.2797
Chr1	Topology1	0.2809
Chr1	Topology1	0.2804
Chr1	Topology1	0.2776
Chr1	Topology1	0.2847
Chr1	Topology1	0.2853
Chr1	Topology1	0.2837
Chr1	Topology1	0.2856
Chr1	Topology1	0.2846
Chr1	Topology1	0.2827
Chr1	Topology1	0.2825
Chr1	Topology1	0.28
Chr1	Topology1	0.2831
Chr1	Topology1	0.2725
Chr1	Topology1	0.2785
Chr1	Topology1	0.2775
Chr1	Topology1	0.2803
Chr1	Topology1	0.2789
Chr1	Topology1	0.2851
Chr1	Topology1	0.2913
Chr1	Topology1	0.2802
Chr1	Topology1	0.2715
Chr1	Topology1	0.2826
Chr1	Topology1	0.2787
Chr1	Topology1	0.2753
Chr1	Topology1	0.2593
Chr1	Topology1	0.277
Chr1	Topology1	0.2832
Chr1	Topology1	0.2727
Chr1	Topology1	0.2662
Chr1	Topology1	0.2805
Chr1	Topology1	0.2793
Chr1	Topology1	0.2791
Chr1	Topology1	0.2739
Chr1	Topology1	0.2759
Chr1	Topology1	0.2724
Chr1	Topology1	0.2792
Chr1	Topology1	0.2768
Chr1	Topology1	0.277
Chr1	Topology1	0.2803
Chr1	Topology1	0.2826
Chr1	Topology1	0.2839
Chr1	Topology1	0.2728
Chr1	Topology1	0.2771
Chr1	Topology1	0.2797
Chr1	Topology1	0.2849
Chr1	Topology1	0.2794
Chr1	Topology1	0.2732
Chr1	Topology1	0.2886
Chr1	Topology1	0.2764
Chr1	Topology1	0.2821
Chr1	Topology1	0.2772
Chr1	Topology1	0.2767
Chr1	Topology1	0.2811
Chr1	Topology1	0.2718
Chr1	Topology1	0.2794
Chr1	Topology1	0.2844
Chr1	Topology1	0.2796
Chr1	Topology1	0.2803
Chr1	Topology1	0.2774
Chr1	Topology1	0.2781
Chr1	Topology1	0.2818
Chr1	Topology1	0.2766
Chr1	Topology1	0.2742
Chr1	Topology1	0.2817
Chr1	Topology1	0.2778
Chr1	Topology1	0.2774
Chr1	Topology1	0.2765
Chr1	Topology1	0.2734
Chr1	Topology1	0.2748
Chr1	Topology1	0.2811
Chr1	Topology1	0.2765
Chr1	Topology1	0.2735
Chr1	Topology1	0.2817
Chr1	Topology1	0.2857
Chr1	Topology1	0.2866
Chr1	Topology1	0.2783
Chr1	Topology1	0.2785
Chr1	Topology1	0.2756
Chr1	Topology1	0.2766
Chr1	Topology1	0.2747
Chr1	Topology1	0.2727
Chr1	Topology1	0.2754
Chr1	Topology1	0.281
Chr1	Topology1	0.2801
Chr1	Topology1	0.2818
Chr1	Topology1	0.2772
Chr1	Topology1	0.2788
Chr1	Topology1	0.2803
Chr1	Topology1	0.2719
Chr1	Topology1	0.2768
Chr1	Topology1	0.2855
Chr1	Topology1	0.2829
Chr1	Topology1	0.2766
Chr1	Topology1	0.2762
Chr1	Topology1	0.2921
Chr1	Topology1	0.284
Chr1	Topology1	0.2855
Chr1	Topology1	0.275
Chr1	Topology1	0.2769
Chr1	Topology1	0.2787
Chr1	Topology1	0.2818
Chr1	Topology1	0.2843
Chr1	Topology1	0.2734
Chr1	Topology1	0.2755
Chr1	Topology1	0.2781
Chr1	Topology1	0.2807
Chr1	Topology1	0.2809
Chr1	Topology1	0.2729
Chr1	Topology1	0.2847
Chr1	Topology1	0.2755
Chr1	Topology1	0.2779
Chr1	Topology1	0.2818
Chr1	Topology1	0.2865
Chr1	Topology1	0.2807
Chr1	Topology1	0.2781
Chr1	Topology1	0.2797
Chr1	Topology1	0.277
Chr1	Topology1	0.2779
Chr1	Topology1	0.2825
Chr1	Topology1	0.2744
Chr1	Topology1	0.2882
Chr1	Topology1	0.2794
Chr1	Topology1	0.2843
Chr1	Topology1	0.2741
Chr1	Topology1	0.2779
Chr1	Topology1	0.2788
Chr1	Topology1	0.2815
Chr1	Topology1	0.2832
Chr1	Topology1	0.2781
Chr1	Topology1	0.282
Chr1	Topology1	0.2727
Chr1	Topology1	0.2822
Chr1	Topology1	0.2788
Chr1	Topology1	0.2883
Chr1	Topology1	0.2802
Chr1	Topology1	0.2778
Chr1	Topology1	0.2805
Chr1	Topology1	0.2734
Chr1	Topology1	0.2803
Chr1	Topology1	0.2813
Chr1	Topology1	0.271
Chr1	Topology1	0.2734
Chr1	Topology1	0.2729
Chr1	Topology1	0.2782
Chr1	Topology1	0.274
Chr1	Topology1	0.2812
Chr1	Topology1	0.2713
Chr1	Topology1	0.2859
Chr1	Topology1	0.2809
Chr1	Topology1	0.274
Chr1	Topology1	0.2846
Chr1	Topology1	0.2752
Chr1	Topology1	0.2841
Chr1	Topology1	0.2809
Chr1	Topology1	0.2872
Chr1	Topology1	0.2801
Chr1	Topology1	0.2876
Chr1	Topology1	0.2776
Chr1	Topology1	0.2817
Chr1	Topology1	0.2837
Chr1	Topology1	0.2729
Chr1	Topology1	0.2765
Chr1	Topology1	0.2885
Chr1	Topology1	0.2804
Chr1	Topology1	0.2657
Chr1	Topology1	0.2728
Chr1	Topology1	0.2806
Chr1	Topology1	0.2761
Chr1	Topology1	0.2874
Chr1	Topology1	0.2718
Chr1	Topology1	0.2879
Chr1	Topology1	0.2707
Chr1	Topology1	0.2714
Chr1	Topology1	0.2715
Chr1	Topology1	0.2831
Chr1	Topology1	0.2804
Chr1	Topology1	0.2722
Chr1	Topology1	0.2663
Chr1	Topology1	0.2796
Chr1	Topology1	0.2702
Chr1	Topology1	0.2855
Chr1	Topology1	0.2832
Chr1	Topology1	0.2834
Chr1	Topology1	0.2775
Chr1	Topology1	0.2792
Chr1	Topology1	0.2709
Chr1	Topology1	0.2758
Chr1	Topology1	0.2767
Chr1	Topology1	0.2798
Chr1	Topology1	0.2717
Chr1	Topology1	0.2791
Chr1	Topology1	0.2771
Chr1	Topology1	0.2778
Chr1	Topology1	0.29
Chr1	Topology1	0.2759
Chr1	Topology1	0.2778
Chr1	Topology1	0.2747
Chr1	Topology1	0.2724
Chr1	Topology1	0.2752
Chr1	Topology1	0.2692
Chr1	Topology1	0.2748
Chr1	Topology1	0.2735
Chr1	Topology1	0.2725
Chr1	Topology1	0.2792
Chr1	Topology1	0.2778
Chr1	Topology1	0.2758
Chr1	Topology1	0.2733
Chr1	Topology1	0.2736
Chr1	Topology1	0.2845
Chr1	Topology1	0.2825
Chr1	Topology1	0.303
Chr1	Topology1	0.2824
Chr1	Topology1	0.2747
Chr1	Topology1	0.2745
Chr1	Topology1	0.2724
Chr1	Topology1	0.2693
Chr1	Topology1	0.2735
Chr1	Topology1	0.2731
Chr1	Topology1	0.2775
Chr1	Topology1	0.2836
Chr1	Topology1	0.2831
Chr1	Topology1	0.2783
Chr1	Topology1	0.2849
Chr1	Topology1	0.2801
Chr1	Topology1	0.2821
Chr1	Topology1	0.277
Chr1	Topology1	0.2777
Chr1	Topology1	0.2782
Chr1	Topology1	0.2732
Chr1	Topology1	0.2691
Chr1	Topology1	0.2748
Chr1	Topology1	0.272
Chr1	Topology1	0.2793
Chr1	Topology1	0.27
Chr1	Topology1	0.2747
Chr1	Topology1	0.2716
Chr1	Topology1	0.2719
Chr1	Topology1	0.2769
Chr1	Topology1	0.2774
Chr1	Topology1	0.2818
Chr1	Topology1	0.279
Chr1	Topology1	0.2773
Chr1	Topology1	0.2766
Chr1	Topology1	0.2726
Chr1	Topology1	0.2797
Chr1	Topology1	0.2832
Chr1	Topology1	0.274
Chr1	Topology1	0.2757
Chr1	Topology1	0.2713
Chr1	Topology1	0.2705
Chr1	Topology1	0.2686
Chr1	Topology1	0.2786
Chr1	Topology1	0.2792
Chr1	Topology1	0.2687
Chr1	Topology1	0.2867
Chr1	Topology1	0.284
Chr1	Topology1	0.2751
Chr1	Topology1	0.2831
Chr1	Topology1	0.2777
Chr1	Topology1	0.2814
Chr1	Topology1	0.2794
Chr1	Topology1	0.2945
Chr1	Topology1	0.2942
Chr1	Topology1	0.327
Chr1	Topology1	0.2812
Chr1	Topology1	0.2791
Chr1	Topology1	0.275
Chr1	Topology1	0.2769
Chr1	Topology1	0.2817
Chr1	Topology1	0.2763
Chr1	Topology1	0.284
Chr1	Topology1	0.2714
Chr1	Topology1	0.2776
Chr1	Topology1	0.2763
Chr1	Topology1	0.2826
Chr1	Topology1	0.2824
Chr1	Topology1	0.2754
Chr1	Topology1	0.2804
Chr1	Topology1	0.2786
Chr1	Topology1	0.2742
Chr1	Topology1	0.2772
Chr1	Topology1	0.2801
Chr1	Topology1	0.284
Chr1	Topology1	0.2814
Chr1	Topology1	0.2758
Chr1	Topology1	0.2781
Chr1	Topology1	0.2748
Chr1	Topology1	0.2762
Chr1	Topology1	0.2808
Chr1	Topology1	0.2801
Chr1	Topology1	0.275
Chr1	Topology1	0.2766
Chr1	Topology1	0.2733
Chr1	Topology1	0.2778
Chr1	Topology1	0.2747
Chr1	Topology1	0.2762
Chr1	Topology1	0.2754
Chr1	Topology1	0.2752
Chr1	Topology1	0.2805
Chr1	Topology1	0.3075
Chr1	Topology1	0.2761
Chr1	Topology1	0.2846
Chr1	Topology1	0.2888
Chr1	Topology1	0.2838
Chr1	Topology1	0.2824
Chr1	Topology1	0.2741
Chr1	Topology1	0.2765
Chr1	Topology1	0.2819
Chr1	Topology1	0.3137
Chr1	Topology1	0.2797
Chr1	Topology1	0.2772
Chr1	Topology1	0.2827
Chr1	Topology1	0.3074
Chr1	Topology1	0.2779
Chr1	Topology1	0.2813
Chr1	Topology1	0.2751
Chr1	Topology1	0.2831
Chr1	Topology1	0.28
Chr1	Topology1	0.2745
Chr1	Topology1	0.2848
Chr1	Topology1	0.2789
Chr1	Topology1	0.2793
Chr1	Topology1	0.2684
Chr1	Topology1	0.2803
Chr1	Topology1	0.2765
Chr1	Topology1	0.2773
Chr1	Topology1	0.2739
Chr1	Topology1	0.2769
Chr1	Topology1	0.3111
Chr1	Topology1	0.2757
Chr1	Topology1	0.2768
Chr1	Topology1	0.2846
Chr1	Topology1	0.2849
Chr1	Topology1	0.2688
Chr1	Topology1	0.283
Chr1	Topology1	0.2834
Chr1	Topology1	0.2821
Chr1	Topology1	0.2881
Chr1	Topology1	0.2699
Chr1	Topology1	0.2687
Chr1	Topology1	0.2822
Chr1	Topology1	0.2802
Chr1	Topology1	0.2749
Chr1	Topology1	0.2759
Chr1	Topology1	0.2872
Chr1	Topology1	0.2822
Chr1	Topology1	0.2693
Chr1	Topology1	0.2702
Chr1	Topology1	0.2782
Chr1	Topology1	0.287
Chr1	Topology1	0.2832
Chr1	Topology1	0.2767
Chr1	Topology1	0.2786
Chr1	Topology1	0.2781
Chr1	Topology1	0.2796
Chr1	Topology1	0.2824
Chr1	Topology1	0.2775
Chr1	Topology1	0.2758
Chr1	Topology1	0.2804
Chr1	Topology1	0.2758
Chr1	Topology1	0.2822
Chr1	Topology1	0.2734
Chr1	Topology1	0.2764
Chr1	Topology1	0.2835
Chr1	Topology1	0.2793
Chr1	Topology1	0.2802
Chr1	Topology1	0.2757
Chr1	Topology1	0.2743
Chr1	Topology1	0.2804
Chr1	Topology1	0.2802
Chr1	Topology1	0.2812
Chr1	Topology1	0.2756
Chr1	Topology1	0.2758
Chr1	Topology1	0.2774
Chr1	Topology1	0.2794
Chr1	Topology1	0.28
Chr1	Topology1	0.2709
Chr1	Topology1	0.2793
Chr1	Topology1	0.268
Chr1	Topology1	0.2826
Chr1	Topology1	0.2834
Chr1	Topology1	0.2807
Chr1	Topology1	0.2796
Chr1	Topology1	0.2787
Chr1	Topology1	0.2752
Chr1	Topology1	0.2767
Chr1	Topology1	0.2795
Chr1	Topology1	0.2805
Chr1	Topology1	0.2766
Chr1	Topology1	0.2712
Chr1	Topology1	0.2796
Chr1	Topology1	0.2725
Chr1	Topology1	0.2747
Chr1	Topology1	0.2763
Chr1	Topology1	0.2813
Chr1	Topology1	0.2798
Chr1	Topology1	0.2708
Chr1	Topology1	0.2823
Chr1	Topology1	0.2784
Chr1	Topology1	0.2695
Chr1	Topology1	0.2808
Chr1	Topology1	0.2767
Chr1	Topology1	0.2747
Chr1	Topology1	0.2871
Chr1	Topology1	0.2773
Chr1	Topology1	0.2861
Chr1	Topology1	0.276
Chr1	Topology1	0.2754
Chr1	Topology1	0.2764
Chr1	Topology1	0.2742
Chr1	Topology1	0.2791
Chr1	Topology1	0.2824
Chr1	Topology1	0.2824
Chr1	Topology1	0.2828
Chr1	Topology1	0.2763
Chr1	Topology1	0.2781
Chr1	Topology1	0.2805
Chr1	Topology1	0.2806
Chr1	Topology1	0.2799
Chr1	Topology1	0.2772
Chr1	Topology1	0.2824
Chr1	Topology1	0.2685
Chr1	Topology1	0.2753
Chr1	Topology1	0.2769
Chr1	Topology1	0.2826
Chr1	Topology1	0.2766
Chr1	Topology1	0.2724
Chr1	Topology1	0.2794
Chr1	Topology1	0.2798
Chr1	Topology1	0.2825
Chr1	Topology1	0.2767
Chr1	Topology1	0.2788
Chr1	Topology1	0.2798
Chr1	Topology1	0.2696
Chr1	Topology1	0.2818
Chr1	Topology1	0.2777
Chr1	Topology1	0.2801
Chr1	Topology1	0.2809
Chr1	Topology1	0.2754
Chr1	Topology1	0.2818
Chr1	Topology1	0.2745
Chr1	Topology1	0.2779
Chr1	Topology1	0.2804
Chr1	Topology1	0.2781
Chr1	Topology1	0.2971
Chr1	Topology1	0.2861
Chr1	Topology1	0.3141
Chr1	Topology1	0.2747
Chr1	Topology1	0.276
Chr1	Topology1	0.2717
Chr1	Topology1	0.2772
Chr1	Topology1	0.2715
Chr1	Topology1	0.2789
Chr1	Topology1	0.2796
Chr1	Topology1	0.2756
Chr1	Topology1	0.2764
Chr1	Topology1	0.2795
Chr1	Topology1	0.2724
Chr1	Topology1	0.2809
Chr1	Topology1	0.2798
Chr1	Topology1	0.2788
Chr1	Topology1	0.2794
Chr1	Topology1	0.2804
Chr1	Topology1	0.2788
Chr1	Topology1	0.274
Chr1	Topology1	0.2824
Chr1	Topology1	0.2901
Chr1	Topology1	0.2729
Chr1	Topology1	0.2726
Chr1	Topology1	0.2738
Chr1	Topology1	0.2772
Chr1	Topology1	0.2829
Chr1	Topology1	0.2823
Chr1	Topology1	0.2759
Chr1	Topology1	0.2824
Chr1	Topology1	0.2749
Chr1	Topology1	0.2763
Chr1	Topology1	0.2768
Chr1	Topology1	0.2777
Chr1	Topology1	0.2878
Chr1	Topology1	0.2809
Chr1	Topology1	0.2826
Chr1	Topology1	0.2722
Chr1	Topology1	0.2861
Chr1	Topology1	0.2763
Chr1	Topology1	0.2857
Chr1	Topology1	0.2824
Chr1	Topology1	0.2751
Chr1	Topology1	0.2709
Chr1	Topology1	0.2757
Chr1	Topology1	0.27
Chr1	Topology1	0.2741
Chr1	Topology1	0.2743
Chr1	Topology1	0.2735
Chr1	Topology1	0.2763
Chr1	Topology1	0.2782
Chr1	Topology1	0.2801
Chr1	Topology1	0.3193
Chr1	Topology1	0.2769
Chr1	Topology1	0.2679
Chr1	Topology1	0.2799
Chr1	Topology1	0.2742
Chr1	Topology1	0.2797
Chr1	Topology1	0.2856
Chr1	Topology1	0.2806
Chr1	Topology1	0.2811
Chr1	Topology1	0.276
Chr1	Topology1	0.2796
Chr1	Topology1	0.2751
Chr1	Topology1	0.3032
Chr1	Topology1	0.2809
Chr1	Topology1	0.2823
Chr1	Topology1	0.28
Chr1	Topology1	0.2793
Chr1	Topology1	0.2769
Chr1	Topology1	0.2772
Chr1	Topology1	0.2852
Chr1	Topology1	0.2804
Chr1	Topology1	0.2773
Chr1	Topology1	0.2777
Chr1	Topology1	0.2774
Chr1	Topology1	0.2761
Chr1	Topology1	0.2788
Chr1	Topology1	0.281
Chr1	Topology1	0.2704
Chr1	Topology1	0.2708
Chr1	Topology1	0.2762
Chr1	Topology1	0.2781
Chr1	Topology1	0.238213394
Chr1	Topology1	0.2801
Chr1	Topology1	0.2767
Chr1	Topology1	0.276
Chr1	Topology1	0.2751
Chr1	Topology1	0.2814
Chr1	Topology1	0.2801
Chr1	Topology1	0.2777
Chr1	Topology1	0.2775
Chr1	Topology1	0.2815
Chr1	Topology1	0.279
Chr1	Topology1	0.2613
Chr1	Topology1	0.2777
Chr1	Topology1	0.2929
Chr1	Topology1	0.2827
Chr1	Topology1	0.2696
Chr1	Topology1	0.3167
Chr1	Topology1	0.2809
Chr1	Topology1	0.2779
Chr1	Topology1	0.2817
Chr1	Topology1	0.2934
Chr1	Topology1	0.2755
Chr1	Topology1	0.2794
Chr1	Topology1	0.2652
Chr1	Topology1	0.2778
Chr1	Topology1	0.2793
Chr1	Topology1	0.2756
Chr1	Topology1	0.2761
Chr1	Topology1	0.2865
Chr1	Topology1	0.2779
Chr1	Topology1	0.2805
Chr1	Topology1	0.2745
Chr1	Topology1	0.2828
Chr1	Topology1	0.2763
Chr1	Topology1	0.2681
Chr1	Topology1	0.2723
Chr1	Topology1	0.2814
Chr1	Topology1	0.2742
Chr1	Topology1	0.2759
Chr1	Topology1	0.2752
Chr1	Topology1	0.2757
Chr1	Topology1	0.2735
Chr1	Topology1	0.2771
Chr1	Topology1	0.2763
Chr1	Topology1	0.2759
Chr1	Topology1	0.2787
Chr1	Topology1	0.2724
Chr1	Topology1	0.2792
Chr1	Topology1	0.2784
Chr1	Topology1	0.2813
Chr1	Topology1	0.3233
Chr1	Topology1	0.284
Chr1	Topology1	0.2788
Chr1	Topology1	0.2773
Chr1	Topology1	0.2753
Chr1	Topology1	0.2818
Chr1	Topology1	0.2705
Chr1	Topology1	0.2748
Chr1	Topology1	0.2743
Chr1	Topology1	0.2837
Chr1	Topology1	0.2805
Chr1	Topology1	0.2809
Chr1	Topology1	0.2717
Chr1	Topology1	0.238213394
Chr1	Topology1	0.276
Chr1	Topology1	0.2753
Chr1	Topology1	0.2813
Chr1	Topology1	0.2746
Chr1	Topology1	0.2806
Chr1	Topology1	0.2662
Chr1	Topology1	0.2812
Chr1	Topology1	0.2738
Chr1	Topology1	0.2804
Chr1	Topology1	0.2752
Chr1	Topology1	0.2795
Chr1	Topology1	0.2759
Chr1	Topology1	0.2726
Chr1	Topology1	0.2745
Chr1	Topology1	0.2743
Chr1	Topology1	0.2785
Chr1	Topology1	0.2798
Chr1	Topology1	0.2798
Chr1	Topology1	0.2688
Chr1	Topology1	0.2828
Chr1	Topology1	0.2777
Chr1	Topology1	0.2791
Chr1	Topology1	0.2804
Chr1	Topology1	0.2803
Chr1	Topology1	0.2767
Chr1	Topology1	0.2803
Chr1	Topology1	0.2788
Chr1	Topology1	0.2794
Chr1	Topology1	0.2793
Chr1	Topology1	0.2795
Chr1	Topology1	0.278
Chr1	Topology1	0.2735
Chr1	Topology1	0.2764
Chr1	Topology1	0.2685
Chr1	Topology1	0.2727
Chr1	Topology1	0.2846
Chr1	Topology1	0.2791
Chr1	Topology1	0.2825
Chr1	Topology1	0.2765
Chr1	Topology1	0.2753
Chr1	Topology1	0.2803
Chr1	Topology1	0.2803
Chr1	Topology1	0.2765
Chr1	Topology1	0.2771
Chr1	Topology1	0.274
Chr1	Topology1	0.2768
Chr1	Topology1	0.2817
Chr1	Topology1	0.2773
Chr1	Topology1	0.2735
Chr1	Topology1	0.2763
Chr1	Topology1	0.2777
Chr1	Topology1	0.2822
Chr1	Topology1	0.2825
Chr1	Topology1	0.2805
Chr1	Topology1	0.2734
Chr1	Topology1	0.2775
Chr1	Topology1	0.2835
Chr1	Topology1	0.3161
Chr1	Topology1	0.2803
Chr1	Topology1	0.2833
Chr1	Topology1	0.2728
Chr1	Topology1	0.2799
Chr1	Topology1	0.2837
Chr1	Topology1	0.2756
Chr1	Topology1	0.23835224
Chr1	Topology1	0.271
Chr1	Topology1	0.2773
Chr1	Topology1	0.2731
Chr1	Topology1	0.2841
Chr1	Topology1	0.2775
Chr1	Topology1	0.282
Chr1	Topology1	0.2821
Chr1	Topology1	0.2697
Chr1	Topology1	0.2772
Chr1	Topology1	0.281
Chr1	Topology1	0.2769
Chr1	Topology1	0.2769
Chr1	Topology1	0.2823
Chr1	Topology1	0.2854
Chr1	Topology1	0.2728
Chr1	Topology1	0.281
Chr1	Topology1	0.2793
Chr1	Topology1	0.2854
Chr1	Topology1	0.2763
Chr1	Topology1	0.2779
Chr1	Topology1	0.2859
Chr1	Topology1	0.2793
Chr1	Topology1	0.2738
Chr1	Topology1	0.2732
Chr1	Topology1	0.2737
Chr1	Topology1	0.2765
Chr1	Topology1	0.2762
Chr1	Topology1	0.278
Chr1	Topology1	0.2838
Chr1	Topology1	0.285
Chr1	Topology1	0.2738
Chr1	Topology1	0.276
Chr1	Topology1	0.282
Chr1	Topology1	0.28
Chr1	Topology1	0.2786
Chr1	Topology1	0.2773
Chr1	Topology1	0.2739
Chr1	Topology1	0.2813
Chr1	Topology1	0.2736
Chr1	Topology1	0.272
Chr1	Topology1	0.2716
Chr1	Topology1	0.281
Chr1	Topology1	0.2782
Chr1	Topology1	0.2803
Chr1	Topology1	0.2772
Chr1	Topology1	0.2807
Chr1	Topology1	0.2791
Chr1	Topology1	0.2748
Chr1	Topology1	0.2801
Chr1	Topology1	0.2849
Chr1	Topology1	0.2787
Chr1	Topology1	0.2757
Chr1	Topology1	0.2801
Chr1	Topology1	0.2787
Chr1	Topology1	0.2801
Chr1	Topology1	0.2804
Chr1	Topology1	0.2807
Chr1	Topology1	0.2867
Chr1	Topology1	0.2723
Chr1	Topology1	0.2818
Chr1	Topology1	0.2754
Chr1	Topology1	0.2771
Chr1	Topology1	0.2757
Chr1	Topology1	0.2752
Chr1	Topology1	0.2776
Chr1	Topology1	0.2757
Chr1	Topology1	0.2805
Chr1	Topology1	0.2775
Chr1	Topology1	0.2799
Chr1	Topology1	0.285
Chr1	Topology1	0.2778
Chr1	Topology1	0.2846
Chr1	Topology1	0.2774
Chr1	Topology1	0.2777
Chr1	Topology1	0.282
Chr1	Topology1	0.2785
Chr1	Topology1	0.2757
Chr1	Topology1	0.2827
Chr1	Topology1	0.2878
Chr1	Topology1	0.2869
Chr1	Topology1	0.2792
Chr1	Topology1	0.2742
Chr1	Topology1	0.2743
Chr1	Topology1	0.2803
Chr1	Topology1	0.2788
Chr1	Topology1	0.2735
Chr1	Topology1	0.2807
Chr1	Topology1	0.2776
Chr1	Topology1	0.275
Chr1	Topology1	0.2746
Chr1	Topology1	0.2881
Chr1	Topology1	0.2785
Chr1	Topology1	0.2973
Chr1	Topology1	0.2381
Chr1	Topology1	0.2731
Chr1	Topology1	0.2739
Chr1	Topology1	0.2738
Chr1	Topology1	0.2781
Chr1	Topology1	0.2839
Chr1	Topology1	0.2757
Chr1	Topology1	0.2812
Chr1	Topology1	0.28
Chr1	Topology1	0.2814
Chr1	Topology1	0.2766
Chr1	Topology1	0.2817
Chr1	Topology1	0.2879
Chr1	Topology1	0.2782
Chr1	Topology1	0.2673
Chr1	Topology1	0.2782
Chr1	Topology1	0.2726
Chr1	Topology1	0.269
Chr1	Topology1	0.2797
Chr1	Topology1	0.2687
Chr1	Topology1	0.2787
Chr1	Topology1	0.2776
Chr1	Topology1	0.2842
Chr1	Topology1	0.2821
Chr1	Topology1	0.2744
Chr1	Topology1	0.2798
Chr1	Topology1	0.2857
Chr1	Topology1	0.2772
Chr1	Topology1	0.2869
Chr1	Topology1	0.274
Chr1	Topology1	0.2773
Chr1	Topology1	0.2759
Chr1	Topology1	0.277
Chr1	Topology1	0.2846
Chr1	Topology1	0.2443
Chr1	Topology1	0.2778
Chr1	Topology1	0.2863
Chr1	Topology1	0.2751
Chr1	Topology1	0.281
Chr1	Topology1	0.2842
Chr1	Topology1	0.2753
